id,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,PERIOD,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV
48,Ebonyi,10,19,2,31,121,27,148,274,Q1 2021,Ebonyi,Q1 2021,13.0,0,6,0,0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0
49,Edo,20,30,6,56,140,51,191,386,Q1 2021,Edo,Q1 2021,68.0,0,2,1,2,0.0,0.0,5.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Ekiti,10,19,2,31,101,13,114,175,Q1 2021,Ekiti,Q1 2021,29.0,0,1,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
51,Enugu,24,36,6,66,222,37,259,505,Q1 2021,Enugu,Q1 2021,3.0,0,4,3,7,0.0,0.0,5.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,41.0
52,FCT,41,177,60,278,518,56,574,1289,Q1 2021,FCT,Q1 2021,158.0,0,17,4,7,2.0,0.0,1.0,36.0,0.0,34.0,1.0,0.0,1.0,0.0,0.0,125.0
53,Gombe,11,59,2,72,232,31,263,388,Q1 2021,Gombe,Q1 2021,33.0,0,9,7,2,3.0,0.0,2.0,11.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,9.0
54,Imo,7,7,2,16,71,17,88,116,Q1 2021,Imo,Q1 2021,5.0,0,3,1,2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
55,Jigawa,15,50,2,67,264,35,299,443,Q1 2021,Jigawa,Q1 2021,82.0,1,7,1,0,12.0,0.0,6.0,6.0,0.0,5.0,7.0,0.0,0.0,0.0,1.0,4.0
56,Kaduna,104,147,5,256,1149,196,1345,2151,Q1 2021,Kaduna,Q1 2021,211.0,1,22,4,5,0.0,0.0,30.0,12.0,3.0,16.0,2.0,3.0,0.0,0.0,7.0,48.0
57,Kano,33,100,4,137,604,100,704,1013,Q1 2021,Kano,Q1 2021,110.0,1,8,0,1,2.0,4.0,17.0,6.0,1.0,12.0,2.0,0.0,0.0,0.0,3.0,17.0
58,Katsina,19,52,0,71,287,29,316,469,Q1 2021,Katsina,Q1 2021,74.0,0,2,0,3,0.0,0.0,3.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
59,Kebbi,13,31,0,44,139,21,160,263,Q1 2021,Kebbi,Q1 2021,38.0,0,0,0,0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Kogi,38,83,22,143,425,94,519,1361,Q1 2021,Kogi,Q1 2021,105.0,0,8,5,10,0.0,0.0,19.0,6.0,0.0,11.0,9.0,4.0,1.0,0.0,0.0,35.0
61,Kwara,25,62,13,100,369,69,438,680,Q1 2021,Kwara,Q1 2021,91.0,0,5,6,1,1.0,1.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
62,Lagos,23,73,55,151,243,26,269,709,Q1 2021,Lagos,Q1 2021,85.0,0,2,16,13,0.0,0.0,12.0,8.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0
63,Nasarawa,37,100,39,176,452,77,529,931,Q1 2021,Nasarawa,Q1 2021,75.0,0,8,9,3,0.0,0.0,10.0,34.0,1.0,11.0,0.0,0.0,1.0,0.0,1.0,34.0
64,Niger,25,82,1,108,492,93,585,809,Q1 2021,Niger,Q1 2021,128.0,0,1,4,4,2.0,0.0,11.0,8.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,2.0
65,Ogun,58,173,68,299,670,82,752,1908,Q1 2021,Ogun,Q1 2021,270.0,0,20,25,23,6.0,1.0,18.0,8.0,10.0,11.0,4.0,3.0,0.0,0.0,0.0,4.0
66,Ondo,32,76,7,115,290,43,333,752,Q1 2021,Ondo,Q1 2021,96.0,0,8,3,9,0.0,1.0,14.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
67,Osun,22,72,11,105,317,43,360,749,Q1 2021,Osun,Q1 2021,78.0,0,11,6,8,0.0,2.0,7.0,10.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0
68,Oyo,56,107,13,176,399,103,502,1169,Q1 2021,Oyo,Q1 2021,129.0,0,14,7,19,1.0,2.0,19.0,17.0,5.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0
69,Plateau,10,25,13,48,130,15,145,251,Q1 2021,Plateau,Q1 2021,15.0,0,1,3,7,1.0,0.0,4.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
70,Rivers,3,16,2,21,54,4,58,118,Q1 2021,Rivers,Q1 2021,12.0,0,4,0,0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
71,Sokoto,15,22,0,37,119,33,152,205,Q1 2021,Sokoto,Q1 2021,46.0,0,1,0,1,0.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
72,Taraba,8,58,1,67,213,12,225,315,Q1 2021,Taraba,Q1 2021,31.0,0,3,1,0,0.0,0.0,3.0,21.0,0.0,1.0,3.0,22.0,0.0,0.0,0.0,19.0
73,Yobe,17,24,1,42,235,35,270,379,Q1 2021,Yobe,Q1 2021,28.0,0,5,1,0,1.0,0.0,6.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
74,Zamfara,8,33,0,41,153,14,167,235,Q1 2021,Zamfara,Q1 2021,29.0,0,2,0,0,0.0,1.0,6.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0
75,Abia,10,11,0,21,69,19,88,177,Q2 2021,Abia,Q2 2021,20.0,0,1,1,1,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Adamawa,11,76,3,90,280,21,301,468,Q2 2021,Adamawa,Q2 2021,70.0,0,3,3,0,0.0,0.0,11.0,1.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,2.0
77,Akwa Ibom,6,9,1,16,32,10,42,87,Q2 2021,Akwa Ibom,Q2 2021,10.0,0,0,0,1,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Anambra,15,31,20,66,138,18,156,418,Q2 2021,Anambra,Q2 2021,37.0,0,2,4,38,0.0,0.0,6.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,5.0
79,Bauchi,33,72,0,105,418,46,464,737,Q2 2021,Bauchi,Q2 2021,55.0,0,8,5,0,2.0,0.0,17.0,7.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,7.0
80,Bayelsa,2,5,3,10,19,3,22,42,Q2 2021,Bayelsa,Q2 2021,5.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Benue,7,59,3,69,170,19,189,236,Q2 2021,Benue,Q2 2021,63.0,1,0,0,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
82,Borno,2,15,0,17,65,4,69,103,Q2 2021,Borno,Q2 2021,7.0,0,7,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
83,Cross River,5,20,4,29,74,5,79,149,Q2 2021,Cross River,Q2 2021,17.0,1,2,1,5,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
84,Delta,9,28,4,41,136,16,152,311,Q2 2021,Delta,Q2 2021,46.0,0,6,1,5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
85,Ebonyi,9,19,1,29,82,15,97,185,Q2 2021,Ebonyi,Q2 2021,20.0,0,6,0,0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
86,Edo,19,30,9,58,154,34,188,370,Q2 2021,Edo,Q2 2021,61.0,0,3,2,4,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Ekiti,13,23,5,41,98,20,118,252,Q2 2021,Ekiti,Q2 2021,39.0,0,2,0,1,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0
88,Enugu,13,34,19,66,157,22,179,453,Q2 2021,Enugu,Q2 2021,8.0,0,9,2,4,1.0,0.0,9.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,39.0
89,FCT,31,168,53,252,483,37,520,1273,Q2 2021,FCT,Q2 2021,135.0,0,10,4,6,0.0,0.0,1.0,22.0,0.0,15.0,9.0,0.0,2.0,0.0,0.0,144.0
90,Gombe,15,76,2,93,239,28,267,427,Q2 2021,Gombe,Q2 2021,40.0,0,1,0,2,6.0,0.0,3.0,26.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,21.0
91,Imo,6,13,4,23,64,14,78,145,Q2 2021,Imo,Q2 2021,6.0,0,5,0,3,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0
92,Jigawa,22,41,0,63,370,46,416,499,Q2 2021,Jigawa,Q2 2021,74.0,0,12,1,0,7.0,1.0,6.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,1.0,2.0
93,Kaduna,94,126,2,222,837,217,1054,1790,Q2 2021,Kaduna,Q2 2021,179.0,0,21,1,3,4.0,1.0,31.0,12.0,2.0,4.0,8.0,0.0,0.0,0.0,5.0,19.0
94,Kano,22,47,1,70,286,57,343,480,Q2 2021,Kano,Q2 2021,56.0,0,3,1,1,0.0,3.0,7.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
95,Katsina,20,19,0,39,148,40,188,229,Q2 2021,Katsina,Q2 2021,40.0,0,2,0,0,0.0,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
96,Kebbi,4,47,2,53,130,4,134,220,Q2 2021,Kebbi,Q2 2021,41.0,0,0,0,0,1.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0
97,Kogi,21,57,19,97,246,25,271,705,Q2 2021,Kogi,Q2 2021,56.0,0,3,6,5,4.0,0.0,10.0,9.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,32.0
98,Kwara,32,63,13,108,368,80,448,750,Q2 2021,Kwara,Q2 2021,64.0,0,10,6,3,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,37.0
99,Lagos,28,75,42,145,266,47,313,717,Q2 2021,Lagos,Q2 2021,75.0,0,7,6,20,0.0,0.0,6.0,14.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
100,Nasarawa,37,182,23,242,600,53,653,1106,Q2 2021,Nasarawa,Q2 2021,107.0,1,6,2,5,3.0,2.0,43.0,37.0,1.0,10.0,4.0,1.0,2.0,0.0,0.0,48.0
101,Niger,47,98,3,148,516,103,619,946,Q2 2021,Niger,Q2 2021,114.0,0,7,1,2,2.0,2.0,16.0,1.0,2.0,6.0,4.0,0.0,0.0,0.0,18.0,14.0
102,Ogun,73,185,79,337,637,121,758,1980,Q2 2021,Ogun,Q2 2021,293.0,0,0,17,0,0.0,0.0,19.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
103,Ondo,32,68,14,114,299,47,346,772,Q2 2021,Ondo,Q2 2021,90.0,2,9,3,5,0.0,0.0,13.0,13.0,5.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0
104,Osun,24,55,8,87,250,52,302,615,Q2 2021,Osun,Q2 2021,61.0,0,15,3,7,1.0,1.0,8.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0
105,Oyo,46,96,10,152,400,85,485,1009,Q2 2021,Oyo,Q2 2021,107.0,1,10,2,4,0.0,0.0,22.0,12.0,5.0,11.0,2.0,0.0,0.0,0.0,5.0,0.0
106,Plateau,13,68,18,99,283,23,306,579,Q2 2021,Plateau,Q2 2021,31.0,0,2,3,17,0.0,0.0,10.0,17.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0
107,Rivers,4,16,6,26,65,6,71,142,Q2 2021,Rivers,Q2 2021,13.0,0,0,0,2,0.0,2.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Sokoto,20,3,0,23,87,37,124,196,Q2 2021,Sokoto,Q2 2021,35.0,0,0,0,0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Taraba,5,51,0,56,171,12,183,254,Q2 2021,Taraba,Q2 2021,28.0,0,1,0,0,3.0,0.0,2.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0
110,Yobe,9,23,0,32,168,17,185,247,Q2 2021,Yobe,Q2 2021,24.0,0,11,0,0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Zamfara,18,26,2,46,213,50,263,386,Q2 2021,Zamfara,Q2 2021,35.0,1,5,0,0,2.0,0.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0
112,Abia,7,10,3,20,62,11,73,140,Q3 2021,Abia,Q3 2021,4.0,0,5,0,5,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
113,Adamawa,14,58,8,80,208,26,234,391,Q3 2021,Adamawa,Q3 2021,66.0,0,2,1,0,0.0,0.0,15.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0
114,Akwa Ibom,1,8,4,13,18,1,19,75,Q3 2021,Akwa Ibom,Q3 2021,11.0,0,0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Anambra,12,39,11,62,142,17,159,411,Q3 2021,Anambra,Q3 2021,20.0,0,4,1,32,0.0,0.0,5.0,1.0,0.0,9.0,56.0,0.0,3.0,0.0,0.0,3.0
116,Bauchi,39,86,5,130,627,79,706,1010,Q3 2021,Bauchi,Q3 2021,69.0,0,7,7,0,2.0,1.0,15.0,6.0,1.0,8.0,0.0,4.0,0.0,1.0,0.0,5.0
117,Bayelsa,3,9,7,19,23,8,31,72,Q3 2021,Bayelsa,Q3 2021,16.0,0,0,2,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
118,Benue,10,37,6,53,159,18,177,245,Q3 2021,Benue,Q3 2021,37.0,0,0,0,1,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
119,Borno,2,14,1,17,110,3,113,188,Q3 2021,Borno,Q3 2021,9.0,0,4,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
120,Cross River,8,26,3,37,144,15,159,229,Q3 2021,Cross River,Q3 2021,24.0,0,5,1,1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
121,Delta,11,28,6,45,122,23,145,279,Q3 2021,Delta,Q3 2021,30.0,0,2,4,2,0.0,2.0,3.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,15.0
122,Ebonyi,9,18,7,34,100,18,118,272,Q3 2021,Ebonyi,Q3 2021,19.0,0,4,2,0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Edo,19,36,11,66,158,33,191,419,Q3 2021,Edo,Q3 2021,68.0,0,2,3,7,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
124,Ekiti,7,31,6,44,127,10,137,287,Q3 2021,Ekiti,Q3 2021,30.0,0,0,0,6,0.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0
125,Enugu,21,52,24,97,270,28,298,748,Q3 2021,Enugu,Q3 2021,45.0,0,6,1,21,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0
126,FCT,44,199,64,307,562,57,619,1629,Q3 2021,FCT,Q3 2021,260.0,0,12,0,3,2.0,0.0,5.0,19.0,1.0,25.0,4.0,0.0,0.0,0.0,2.0,87.0
127,Gombe,10,60,3,73,218,13,231,334,Q3 2021,Gombe,Q3 2021,38.0,3,5,1,1,0.0,0.0,7.0,8.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,11.0
128,Imo,9,15,3,27,85,16,101,251,Q3 2021,Imo,Q3 2021,10.0,0,2,1,4,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
129,Jigawa,23,70,1,94,312,65,377,560,Q3 2021,Jigawa,Q3 2021,89.0,0,8,1,0,7.0,1.0,3.0,2.0,0.0,8.0,5.0,0.0,0.0,2.0,0.0,6.0
130,Kaduna,58,111,5,174,684,144,828,1471,Q3 2021,Kaduna,Q3 2021,118.0,0,7,3,2,3.0,0.0,29.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,16.0
131,Kano,15,17,0,32,131,53,184,283,Q3 2021,Kano,Q3 2021,16.0,0,4,0,1,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132,Katsina,15,3,0,18,98,33,131,138,Q3 2021,Katsina,Q3 2021,21.0,0,2,0,0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Kebbi,15,39,0,54,159,59,218,312,Q3 2021,Kebbi,Q3 2021,41.0,0,0,1,0,1.0,0.0,4.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
134,Kogi,22,59,14,95,280,42,322,786,Q3 2021,Kogi,Q3 2021,72.0,0,5,4,7,0.0,0.0,9.0,6.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,21.0
