id,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,PERIOD,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV
199,Enugu,21,28,8,57,211,38,249,600,Q1 2022,Enugu,Q1 2022,18.0,0,1,0,17,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0
200,FCT,43,186,90,319,467,56,523,1609,Q1 2022,FCT,Q1 2022,240.0,0,27,3,4,0.0,0.0,4.0,33.0,0.0,24.0,3.0,2.0,2.0,0.0,1.0,65.0
201,Gombe,10,63,0,73,274,16,290,415,Q1 2022,Gombe,Q1 2022,53.0,0,4,3,0,0.0,2.0,9.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0
202,Imo,7,16,3,26,54,17,71,134,Q1 2022,Imo,Q1 2022,5.0,0,3,0,7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
203,Jigawa,18,83,1,102,417,37,454,724,Q1 2022,Jigawa,Q1 2022,168.0,1,13,0,0,11.0,0.0,6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Kaduna,82,106,9,197,887,197,1084,1818,Q1 2022,Kaduna,Q1 2022,110.0,0,13,2,1,1.0,1.0,15.0,19.0,2.0,13.0,1.0,0.0,0.0,0.0,4.0,0.0
205,Kano,42,48,2,92,417,138,555,782,Q1 2022,Kano,Q1 2022,80.0,0,5,1,2,2.0,0.0,6.0,7.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,11.0
206,Katsina,12,1,0,13,76,37,113,143,Q1 2022,Katsina,Q1 2022,10.0,0,2,0,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
207,Kebbi,7,46,4,57,229,22,251,350,Q1 2022,Kebbi,Q1 2022,57.0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Kogi,41,86,15,142,474,95,569,1449,Q1 2022,Kogi,Q1 2022,132.0,1,9,5,13,2.0,0.0,20.0,11.0,0.0,6.0,2.0,10.0,0.0,0.0,1.0,2.0
209,Kwara,32,55,7,94,315,86,401,635,Q1 2022,Kwara,Q1 2022,109.0,1,10,4,5,0.0,0.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
210,Lagos,25,98,75,198,276,48,324,1118,Q1 2022,Lagos,Q1 2022,88.0,0,9,9,34,0.0,0.0,6.0,13.0,0.0,14.0,0.0,0.0,3.0,0.0,6.0,0.0
211,Nasarawa,47,189,11,247,556,70,626,1225,Q1 2022,Nasarawa,Q1 2022,183.0,0,10,6,6,3.0,0.0,18.0,27.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,44.0
212,Niger,62,80,4,146,754,155,909,1580,Q1 2022,Niger,Q1 2022,124.0,0,8,0,2,2.0,0.0,22.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,21.0,4.0
213,Ogun,63,158,47,268,656,126,782,1915,Q1 2022,Ogun,Q1 2022,260.0,0,7,5,7,2.0,0.0,16.0,7.0,0.0,18.0,0.0,1.0,2.0,0.0,0.0,4.0
214,Ondo,33,82,12,127,355,54,409,1038,Q1 2022,Ondo,Q1 2022,95.0,0,11,3,8,2.0,0.0,9.0,22.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Osun,23,67,12,102,376,29,405,883,Q1 2022,Osun,Q1 2022,75.0,0,18,6,4,1.0,1.0,13.0,2.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0
216,Oyo,46,113,14,173,540,73,613,1337,Q1 2022,Oyo,Q1 2022,124.0,0,14,5,12,2.0,0.0,14.0,15.0,0.0,10.0,1.0,0.0,0.0,0.0,4.0,0.0
217,Plateau,22,51,0,73,270,36,306,508,Q1 2022,Plateau,Q1 2022,26.0,0,0,2,18,1.0,0.0,8.0,6.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0
218,Rivers,5,19,5,29,58,7,65,157,Q1 2022,Rivers,Q1 2022,20.0,0,4,1,3,0.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Sokoto,8,17,2,27,103,13,116,231,Q1 2022,Sokoto,Q1 2022,19.0,0,3,0,1,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Taraba,14,56,1,71,248,32,280,420,Q1 2022,Taraba,Q1 2022,21.0,0,5,0,0,3.0,0.0,12.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,13.0
221,Yobe,17,9,0,26,133,63,196,272,Q1 2022,Yobe,Q1 2022,21.0,0,5,0,0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
222,Zamfara,5,21,1,27,130,10,140,185,Q1 2022,Zamfara,Q1 2022,20.0,0,0,0,0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
